Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
scaffold_1	8183653	108108	13.21	54054	0	44253	9801	4.52
scaffold_10	55956	0	0.00	0	0	0	0	0
scaffold_11	48071	0	0.00	0	0	0	0	0
scaffold_12	41920	0	0.00	0	0	0	0	0
scaffold_13	36589	0	0.00	0	0	0	0	0
scaffold_14	21451	4	0.19	2	0	1	1	1.00
scaffold_2	7224844	81018	11.21	40509	0	32827	7682	4.27
scaffold_3	5015139	58328	11.63	29164	0	23031	6133	3.76
scaffold_4	3720388	61334	16.49	30667	0	25203	5464	4.61
scaffold_5	3425647	56692	16.55	28346	0	22903	5443	4.21
scaffold_6	106711	130	1.22	65	0	24	41	0.59
scaffold_7	80960	648	8.00	324	0	302	22	13.73
scaffold_8	65963	0	0.00	0	0	0	0	0
scaffold_9	64948	0	0.00	0	0	0	0	0
Totals	28092240	366262	13.04	183131	0	148544	34587	4.29
