# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAT1	CIB10637_001256	CIB10637_001256-T1	protein_coding	0	4	3	95	4	0	2	0	0	0	0	40	0	0	11	3	0	0	0	1	0	0	0	0	3	39
ABC1	CIB10637_001275	CIB10637_001275-T1	protein_coding	0	6	3	33	2	0	0	0	0	0	0	20	0	0	0	3	0	0	0	0	0	0	0	0	6	11
ABD1	CIB10637_001417	CIB10637_001417-T1	protein_coding	0	1	1	34	0	0	0	0	0	0	0	16	0	0	1	1	0	0	0	0	0	0	0	0	1	17
ABP1	CIB10637_000514	CIB10637_000514-T1	protein_coding	0	1	2	30	9	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	1	12
ABZ1	CIB10637_002758	CIB10637_002758-T1	protein_coding	0	2	6	32	0	0	11	0	0	0	0	11	0	0	1	6	0	0	0	0	0	0	0	0	2	9
ABZ2	CIB10637_004783	CIB10637_004783-T1	protein_coding	0	0	2	24	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	11
ACB1	CIB10637_006884	CIB10637_006884-T1	protein_coding	0	2	0	25	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	2	13
ACC1	CIB10637_001833	CIB10637_001833-T1	protein_coding	0	7	4	45	7	0	2	0	0	0	0	4	0	0	2	4	0	0	0	0	0	0	0	0	7	30
ACE2	CIB10637_003281	CIB10637_003281-T1	protein_coding	0	1	3	24	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	1	13
ACF2	CIB10637_004280	CIB10637_004280-T1	protein_coding	0	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ACH1	CIB10637_007429	CIB10637_007429-T1	protein_coding	0	1	1	60	0	0	0	0	0	0	0	44	0	0	0	1	0	0	0	0	0	0	0	0	1	16
ACO1	CIB10637_000995	CIB10637_000995-T1	protein_coding	0	5	1	30	3	0	0	0	0	0	0	15	0	0	4	1	0	0	0	0	0	0	0	0	5	8
